"lat","lng","name","phone","address","city","state","country"
-33.8865359754904,151.20908021041694,"Sample Coffee","+61414703005","1A/118 Devonshire St.","Surry Hills","NSW","Australia"
-37.86865264857661,145.05752323914157,"DanielSon",,"471-473 Neerim Rd","Murrumbeena","VIC","Australia"
-33.872845399399026,151.20685477522161,"Workshop Espresso","+61292648836","The Galeries Victoria","Sydney","NSW","Australia"
-37.88591287543471,145.08341073989868,"Gloria Jean's Coffees","+61395633388","Shop 224, Chadstone Shopping Centre, 1341 Dandenong Rd","Chadstone","VIC","Australia"
-33.88954589506866,151.2149941921234,"Bourke Street Bakery","+61296991011","633 Bourke St.","Surry Hills","NSW","Australia"
-37.88630238280523,145.08360385894775,"Jasper Coffee","+61395634333","Chadstone Shopping Centre, 1341 Dandenong Rd","Chadstone","VIC","Australia"
-37.84689295687917,145.06328950700305,"Bella Sistas","+61398894248","970 Toorak Road","Glen Iris","VIC","Australia"
-37.88642531987181,145.08251861856886,"Nespresso","+611800623033","Chadstone Shopping Centre","East Malvern","VIC","Australia"
-37.865699,145.050058,"Coffee & Soul",,"126 Burke Rd","East Malvern","VIC","Australia"
-37.88660721322326,145.08240222930908,"Sicily Cafe",,"1341 Dandenong Rd","Chadstone","VIC","Australia"
